hub,hub_qid,hub_latitude,hub_longitude
Athina,Q1524,37.9841666666667,23.7280555555556
Bruxelles,Q239,50.8466666666667,4.35166666666667
Santiago,Q14314,42.883333333333,-8.5333333333333
Bayonne-Biarritz,Q132790,43.480555555556,-1.5572222222222
Narvik,Q59101,68.43828,17.42777
Oviedo-Avilés-Gijón,Q14317,43.3625,-5.8502777777778
Alexandruopolis,Q190847,40.85,25.866666666667
Praha,Q1085,50.083333333333,14.416666666667
Paderborn-Lippstadt,Q2971,51.7166666666667,8.76666666666667
San Sebastian,Q10313,43.32,-1.98
Leipzig-Halle,Q2079,51.333333333333,12.383333333333
Billund,Q1701099,55.730833333333,9.1152777777778
Toulon-Hyères,Q44160,43.125,5.9305555555556
Jerez,Q12303,36.7,-6.1166666666667
Clermont Ferrand,Q42168,45.779722222222,3.0869444444444
Duesseldorf,Q1718,51.231144444444,6.7723805555556
Münster-Osnabrück,Q2742,51.9625,7.6255555555556
Lourdes-Tarbes,Q184023,43.232777777778,0.074444444444444
Amsterdam,Q727,52.383333333333,4.9
London,Q84,51.507222222222,-0.1275
Paris,Q90,48.856944444444,2.3513888888889
Madrid,Q2807,40.418888888889,-3.6919444444444
Milano,Q490,45.466944444444,9.19
Roma,Q220,41.893055555556,12.482777777778
Frankfurt,Q1794,50.113611111111,8.6797222222222
Oslo,Q585,59.911111111111,10.752777777778
Berlin,Q64,52.516666666667,13.383333333333
München,Q1726,48.1375,11.575
Hamburg,Q1055,53.55,10
Budapest,Q1781,47.498333333333,19.040833333333
Alicante,Q11959,38.345277777778,-0.48305555555556
København,Q1748,55.676111111111,12.568888888889
Düsseldorf,Q1718,51.231144444444,6.7723805555556
Nice,Q33959,43.701944444444,7.2683333333333
Stockholm,Q1754,59.329444444444,18.068611111111
Helsinki,Q1757,60.17556,24.93417
Wien,Q1741,48.20833,16.373064
Venezia,Q641,45.439722222222,12.331944444444
Barcelona,Q1492,41.3825,2.1769444444444
Köln,Q365,50.942222222222,6.9577777777778
Lisboa,Q597,38.708042,-9.139016
Krakow,Q31487,50.061388888889,19.937222222222
Bologna,Q1891,44.493888888889,11.342777777778
Pisa,Q13375,43.716666666667,10.4
Porto,Q36433,41.149472222222,-8.6107777777778
Vigo,Q8745,42.235833333333,-8.7266666666667
Manchester,Q18125,53.466666666667,-2.2333333333333
A Coruña,Q8757,43.366666666667,-8.3833333333333009
Genève,Q71,46.2,6.15
Lyon,Q456,45.758888888889,4.8413888888889
Bergen,Q26793,60.3925,5.3233333333333
Thessaloniki,Q17151,40.6402777777778,22.9355555555556
Warszawa,Q270,52.216666666667,21.033333333333
Torino,Q495,45.066666666667,7.7
Haugesund,Q109036,59.41015,5.27551
Sofia,Q472,42.697886,23.321726
Marseille,Q23482,43.296666666667,5.3763888888889
Napoli,Q2634,40.833333333333,14.25
Nantes,Q12191,47.217222222222,-1.5538888888889
Verona,Q2028,45.4386111111111,10.9927777777778
Valencia,Q8818,39.47,-0.376388888888889
Lille,Q648,50.631944444444,3.0575
Genova,Q1449,44.407186111111,8.9339833333333
Catania,Q1903,37.502669444444,15.087269444444
Bilbao,Q8692,43.262222222222,-2.9533333333333
Palermo,Q2656,38.115658,13.361262
Trieste,Q546,45.6502777777778,13.7702777777778
Firenze,Q2044,43.771388888889,11.254166666667
Hannover,Q1715,52.374444444444,9.7386111111111
Graz,Q13298,47.0708333333333,15.4386111111111
Dortmund,Q1295,51.513888888889,7.4652777777778
Linz,Q41329,48.3,14.283333333333
Stuttgart,Q1022,48.776111111111,9.1775
Friedrichshafen,Q4051,47.654166666667,9.4791666666667
Nürnberg,Q2090,49.4538888888889,11.0775
Strasbourg,Q6602,48.573333333333,7.7522222222222
Lamezia Terme,Q53643,38.966666666667,16.3
Brest,Q12193,48.39,-4.4869444444444
Almeria,Q10400,36.84,-2.4675
Edinburgh,Q23436,55.95,-3.1988888888889
Toulouse,Q7880,43.604444444444,1.4438888888889
Glasgow,Q4093,55.8611111111111,-4.25
Trondheim,Q25804,63.44,10.4
Zürich,Q72,47.378611111111,8.54
Stavanger,Q25416,58.97,5.71
Praha,Q1085,50.083333333333,14.416666666667
Tromsø,Q26087,69.666667,18.933333
Bordeaux,Q1479,44.837777777778,-0.57944444444444
Bari,Q3519,41.125277777778,16.866666666667
Göteborg,Q25287,57.671706102705,11.980966694056
Luleå,Q26268,65.583820878214,22.191498303076
Sevilla,Q8717,37.383333333333,-5.9833333333333
Malmö,Q2211,55.593188589918,13.021423031021
Montpellier,Q6441,43.610919444444,3.8772305555556
Oulu,Q47048,65.0141666666667,25.4719444444444
Brindisi,Q13496,40.638333333333,17.945833333333
Umeå,Q25579,63.828453583518,20.270566462023
Malaga,Q8851,36.716666666667,-4.4166666666667
Bodø,Q39383,67.28267,14.37513
Aalborg,Q25410,57.05,9.9166666666667
Aberdeen,Q36405,57.15,-2.1
Birmingham,Q2256,52.48,-1.9025
Ålesund,Q62266,62.4712388888889,6.15423888888889
Basel,Q78,47.560555555556,7.5905555555556
București,Q19660,44.4,26.083333333333
Narvik,Q59101,68.43828,17.42777
Gdansk,Q1792,54.366666666667,18.633333333333
Inverness,Q160493,57.483888888889,-4.2258333333333
Rovaniemi,Q103717,66.5027903,25.7284789
Luxembourg,Q1842,49.610555555556,6.1327777777778
Kristiansand,Q2415,58.14672222,7.99561111
Granada,Q8810,37.178055555556,-3.6008333333333
Pau,Q132671,43.300833333333,-0.37
Bristol,Q23154,51.45,-2.5833333333333
Bremen,Q24879,53.076944444444,8.8088888888889
Billund,Q1701099,55.730833333333,9.1152777777778
Dresden,Q1731,51.05,13.74
Eindhoven,Q9832,51.434444444444,5.4841666666667
Santander,Q12233,43.466666666667,-3.8
Pescara,Q2704,42.464277777778,14.214188888889
Perpignan,Q6730,42.6975,2.8947222222222
Salzburg,Q34713,47.7972,13.04768
Innsbruck,Q1735,47.268333333333,11.393333333333
Rennes,Q647,48.114166666667,-1.6808333333333
Zagreb,Q1435,45.8130555555556,15.9772222222222
Trapani,Q13664,38.0175,12.515
Klagenfurt,Q41753,46.616666666667,14.3
Reggio Calabria,Q8471,38.114438888889,15.65
Caen,Q41185,49.182222222222,-0.37055555555556
